1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1.45162,1.45234,1.45277,1.45524,1.45613,1.45646,1.45806,1.4585,1.45873,1.46014,1.46045,1.46068,1.46174,1.46182,1.46184
1.44854,1.44831,1.44827,1.44826,1.44831,1.44838,1.44906,1.44987,1.45065,1.45182,1.45208,1.45226,1.45259,1.45277,1.45297
1.44791,1.4479,1.44788,1.44788,1.4479,1.44803,1.44956,1.44981,1.44991,1.45009,1.45017,1.45025,1.45045,1.45063,1.45075
1.44903,1.44925,1.44952,1.45114,1.45168,1.45216,1.4536,1.45404,1.45488,1.45493,1.45493,1.45495,1.45498,1.45502,1.45504
1.4479,1.44889,1.44941,1.44993,1.45088,1.45165,1.45226,1.4532,1.45356,1.45384,1.45404,1.45413,1.45435,1.4548,1.4553
1.45576,1.45679,1.45727,1.45797,1.45863,1.45882,1.45882,1.45884,1.45886,1.45894,1.459,1.45906,1.45923,1.45931,1.45938
