Kata,Bobot
00,0.16295569240036697
0000000000000000000ug,0.7071067811865476
001,0.23119469389795402
001012,0.19932708775204602
00pkpokok,0.16295569240036697
0300,0.40418488569438155
04,0.15468641345161527
05112020,0.32449792806415917
06,0.19932708775204602
07,0.15468641345161527
0700,0.21040957048577835
0812,0.37931653350830374
09,0.4030944449467968
099,0.39499214194036825
0ara,0.3131023911353858
0ekerjaan,0.648805807091892
0perat0r,0.5773502691896258
10,23.52774216688075
100,17.035636450365352
1000,2.543224653117897
10000,0.6325165674644171
10001,0.4713435595719439
100010,0.18424494519526072
1000x,1.1986183977670053
1001,0.49153724390036424
10050ribu,0.1853780011978414
100an,0.27000377721635616
100kalimelamar,0.6246060839068304
100kb,0.32362932857299886
100lamaran,0.36662742268148013
100lebih,0.33147080990679234
100loker,0.36668346945593333
100x,1.195776515512408
101213,0.45782241132079254
1015,0.6759375821857894
1020,0.5000975701520759
1025,0.19618536236473097
1034,0.15777257240634357
10hari,0.27730395237273026
10k,0.4137890561499207
10mb,0.5514601538335874
10rb,0.17490695503922693
10th,0.9517663843035026
10x,1.2304892497331419
11,5.127157046588622
11000sama,0.7351255225263893
1194,0.37931653350830374
11mb,0.31675417305554454
11x,0.3414897988837736
12,5.133274655245368
12112020,0.32449792806415917
12jd,0.22490876583101663
12mb,0.29082404636277637
12perusahaan,0.3224447158762661
12thn,0.3290517790796419
13,1.2212359409091815
130,0.3133227987235762
1350000,0.170608518823596
13960,0.19889776767761747
13jt,0.31738586427306814
13tp,0.22490876583101663
14,2.0329573545861437
1400,0.17434298619427532
14340,0.2912290218656903
14mbdi,0.2718397119280633
15,7.107697775719115
150,0.5474921213719278
150px,0.411947223167492
150x150,0.26149844266415884
1520,0.4234385176357247
15jt,0.2136573445559653
15mb,0.45423977460074744
15th,0.8311173196088217
16,1.9055669989884763
1600,0.21242071585383107
16jt,0.8547691597154154
16jtmerska,0.1853780011978414
17,1.146571430796216
170,0.6193197099285889
173x,0.3446004415634481
178mb,0.39082017713650524
17jt,0.19889776767761747
18,2.4417588922242004
180,0.5919013834972573
18032023,0.42253918539450347
180an,0.4097059854491883
180hari,0.2651350615595961
18112023,0.7110365780743986
18jt,0.2354106431185823
18nov,0.2136839037387653
19,8.8116706566978
1966bekerja,0.19932708775204602
1970,0.7999022450311453
1982,0.1923633870048041
1988,0.1923633870048041
1991,0.41880166343930014
1991an,0.489027934189876
1996,0.1317209478186223
19961998,0.23060487495649232
1997,0.3763444431092212
1997grand,0.1923633870048041
1997sd,0.227110698611274
1998,0.32262281716819047
1999,0.7262452690515618
19apr2021,0.4770973105243494
19di,0.6121786033328948
1bintang,0.52112042575072
1bln,0.17434298619427532
1bulan,1.0734678288111525
1dulu,0.4990165217317687
1ga,0.19581948867705817
1hr,0.36287217825406776
1jt,0.31376086371314116
1jttolong,0.2142613109930883
1juta,0.26323284411914566
1jutasluruh,0.13462255222623973
1kali,0.4388352724805711
1kalo,0.6199489577775726
1lamaran,0.3129592465723827
1lowongan,0.20168035040924898
1masuk,0.3577025934023823
1mb,19.196769467634557
1mbini,0.27522379585184187
1mbni,0.3423394957230775
1mbsedangkan,0.3661483363131851
1mbterima,0.4033696764362905
1mbtolong,0.3038435381976763
1mengembangkan,0.1927004736706934
1minggu,0.8185228495995167
1nya,0.4992765910975394
1operatot,0.16510356680013505
1palikasi,0.48994320706265493
1pengen,0.4177334199332324
1pernah,0.32850266729844685
1persyaratan,0.2699005669886869
1pkl,0.15468641345161527
1pt,0.30150856998723785
1pum,0.8718480534172758
1pun,2.1754981393270185
1rb2rb,0.2221683107322975
1st,0.14599993750472873
1status,0.29983085211177013
1tahun,1.1351017793008484
1thn,0.5076373947617422
1tolong,0.2650832217393414
1x,1.7811308070494998
20,4.989659613855469
200,5.870851217009313
2000,1.7535810523191582
20000,0.29508825834100755
2001,0.6548418946188123
20012005,0.16510356680013505
20018ratu,0.1923633870048041
2002,0.965860549553795
2003,0.1317209478186223
2004,1.804044633023696
2005,0.6806466145766524
2006,1.0400303444320587
20062008,0.16510356680013505
2007,0.666487333605956
2007saya,0.47741266487775114
2008,1.3991107180134188
20082011,0.4538425145646113
2008dan,0.5298390249794731
2008sd,0.227110698611274
2009,2.465730191115145
200bulan,0.28074660292306564
200kb,0.4152347443797539
200rb,0.5568631054404516
200x,0.6230155821861666
2010,2.6343248468070293
20102012,0.0935351133494461
20102021,0.16510356680013505
2011,2.5254572379916134
2011hihihi,0.4613314974627908
2012,3.5908200991361596
20122016,0.0935351133494461
2013,2.216866979136445
20132015,0.3137611639962335
20132018,0.265418372542172
2013so,0.5949629936625166
2014,3.2619395104419318
20142016,0.28018541968989963
2014fitur,0.2071261789983628
2015,3.5708598215952074
20152016,0.4538425145646113
2016,3.633513133035304
201617,0.362340926861887
2017,3.099348222261607
2018,3.3733097644687198
20182020,0.3137611639962335
2019,5.535099085199794
2019belom,0.4186797967847609
2020,5.704068765580933
2021,6.294952092842706
2022,4.954873974531264
2022maaf,0.3529612310344255
2022mohon,0.25207069615634425
2023,3.407673768508645
2024,1.6244311288165898
2025,0.9454892177586367
20kb,1.6653804908263352
20tp,0.35525484338366636
21,1.5559857457634254
2150000,0.3114229925761613
217,0.53176183256844
22,0.9825940380897704
221123,0.42253918539450347
22nya,0.3846905077895794
23,2.513557029716171
24,1.5096087130423101
24jam,0.34908373787457614
25,1.595344944153437
250,0.30946991485382835
25112023,0.723239927032844
26,0.3259081087858572
26102023,0.5691654060705361
27,0.5525297837135453
28,2.93255753740829
28th,0.24930556734591752
